genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Feminino,23 anos,Exercício e saúde;Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Feminino,39 anos,Rapidez \ Tempo; Praticidade e conveniência; Exercício e saúde,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,46,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,47 anos,Exercício e saúde,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,24 anos,Praticidade e conveniência; Custo \ É mais barato; Única opção,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por um carro",260226,,,,,,,
Masculino,28 anos,Exercício e saúde; Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,39 anos,Exercício e saúde,Entre 2 e 3 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,32 anos,Exercício e saúde;Rapidez \ Tempo,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,86,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,Meio e oito,Rapidez \ Tempo;Mais fácil;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,29 anos,Praticidade e conveniência; Custo \ É mais barato,Mais de 5 anos,Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",260226,,,,,,,
Masculino,57 anos,Rapidez \ Tempo,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,60,Preferência pessoal; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,22 anos,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,37 anos,Exercício e saúde;Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,35 anos,Única opção; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,51 anos,Exercício e saúde;Praticidade e conveniência,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,35 anos,Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro",260226,,,,,,,
Masculino,48,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,49,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,58 anos,Rapidez \ Tempo,Entre 1 e 2 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,63 anos,Exercício e saúde,Mais de 5 anos,"Por favor, forneça a resposta que você deseja classificar.","Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,32 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,48 anos,Única opção; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",260226,,,,,,,
Feminino,44,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,260226,,,,,,,
Masculino,52 anos,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia",Não,Não,Não,260226,,,,,,,
Masculino,38,Exercício e saúde; Rapidez \ Tempo,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,53 anos,Preferência pessoal;Única opção,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Sim,Não,260226,,,,,,,
Masculino,50 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,51 anos,Exercício e saúde,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",260226,,,,,,,
Masculino,47,Rapidez \ Tempo,Mais de 5 anos,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,51,Preferência pessoal; Única opção,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,50 anos,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,40 anos,Exercício e saúde,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,54 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,Entre 1 e 2 anos,"Falta de ciclovias, Desrespeito dos motoristas ou Trânsito","Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,26 anos,Preferência pessoal,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,Não,260226,,,,,,,
Masculino,44 anos,Rapidez \ Tempo; Custo \ É mais barato; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,41 anos,Praticidade e conveniência;Mais fácil,Entre 1 e 2 anos,Falta de ciclovias; Má qualidade das ciclovias; Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,Não,Não,"Sim, por um carro",260226,,,,,,,
Masculino,70,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,49,Preferência pessoal; Praticidade e conveniência,Entre 3 e 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,36,Custo \ É mais barato;Rapidez \ Tempo,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,5'3,Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Feminino,52,Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,27 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,40 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,17 anos,Preferência pessoal; Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes; Falta de ciclovias,Não,Sim,"Sim, por uma moto",260226,,,,,,,
Masculino,50 anos,Preferência pessoal,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Não,Não,260226,,,,,,,
Masculino,22 anos,Preferência pessoal; Rapidez \ Tempo; Praticidade e conveniência,Entre 1 e 2 anos,Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,36,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,52 anos,Mais fácil;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,50 anos,Exercício e saúde,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",260226,,,,,,,
Masculino,22 anos,Exercício e saúde,Entre 1 e 2 anos,Risco de acidentes; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,60,Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Má qualidade das ciclovias; Outros obstáculos na ciclovia,Não,Não,"Sim, por uma bicicleta elétrica",260226,,,,,,,
Masculino,43 anos,Custo \ É mais barato; Única opção; Preferência pessoal; Exercício e saúde,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,55,Preferência pessoal;Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,20 anos,Preferência pessoal,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,53 anos,Exercício e saúde;Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,16 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,35 anos,Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Falta de ciclovias; Sinalização inadequada,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",260226,,,,,,,
Masculino,55 anos,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,39 anos,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",260226,,,,,,,
Masculino,59,Preferência pessoal; Praticidade e conveniência,Entre 1 e 2 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,37 anos,Única opção; Preferência pessoal,,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,30 anos,Exercício e saúde; Custo \ É mais barato,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",260226,,,,,,,
Masculino,37,Praticidade e conveniência,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,58 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Risco de acidentes,Não,Não,Não,260226,,,,,,,
Masculino,30,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,54 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,39,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,54,Custo \ É mais barato; Única opção,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor",260226,,,,,,,
Feminino,62,Preferência pessoal;Única opção,Entre 1 e 2 anos,Falta de ciclovias,Não,Não,Não,260226,,,,,,,
Masculino,43 anos,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Invasão de carros ou motos na ciclovia; Risco de acidentes,Não,Não,"Sim, por um carro",260226,,,,,,,
Masculino,34,Mais fácil;Praticidade e conveniência,Mais de 5 anos,"Invasão de carros ou motos na ciclovia, Lixo na ciclovia, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,49 anos,Rapidez \ Tempo; Praticidade e conveniência; Segurança no trânsito,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",260226,,,,,,,
Masculino,53 anos,Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia, Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,40 anos,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Nenhum,Não,Sim,"Sim, mas não especifica qual meio",260226,,,,,,,
Masculino,50 anos,Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia",Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,54 anos,Praticidade e conveniência; Mais fácil; Preferência pessoal,Mais de 5 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia",Não,Não,Não,260226,,,,,,,
Masculino,46,Praticidade e conveniência,Mais de 5 anos,Falta de ciclovias; Sinalização inadequada; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",260226,,,,,,,
Masculino,38 anos,Rapidez \ Tempo,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia,Não,Sim,"Sim, por um carro",260226,,,,,,,
Masculino,25 anos,Custo \ É mais barato,Entre 2 e 3 anos,"Desrespeito dos motoristas ou Trânsito, Má qualidade das ciclovias","Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,19 anos,Preferência pessoal; Praticidade e conveniência,Entre 1 e 2 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia",Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,25 anos,Rapidez \ Tempo; Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Machismo e desrespeito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,39,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,59 anos,Praticidade e conveniência; Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,38 anos,Exercício e saúde; Praticidade e conveniência,Mais de 5 anos,Falta de ciclovias; Risco de acidentes,Não,Não,"Sim, mas não especifica qual meio",260226,,,,,,,
Masculino,49 anos,Praticidade e conveniência; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,260226,,,,,,,
Masculino,50 anos,Praticidade e conveniência;Mais fácil,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,39 anos,Preferência pessoal;Praticidade e conveniência,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,56,Praticidade e conveniência;Segurança no trânsito,,"Lixo na ciclovia, Outros obstáculos na ciclovia, Desrespeito dos motoristas ou Trânsito",,,,270325,Outros,Não,,,,,
Masculino,38,Praticidade e conveniência;Segurança no trânsito,,Sinalização inadequada,,,,270325,Outros,Não,,,,,
Masculino,31,Mais fácil;Praticidade e conveniência;Segurança no trânsito,,Calor ou clima,,,,270325,Outros,Não,,,,,
Feminino,,Praticidade e conveniência;Segurança no trânsito,,,,,,270325,Outros,Não,,,,,
Feminino,51,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias; Conscietização dos motoristas,Não,,,,,
Masculino,61,Exercício e saúde;Rapidez \ Tempo,,Lixo na ciclovia,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,43,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,,Má qualidade das ciclovias; Buracos na ciclovia; Falta de ciclovias,"Sim, medo de assalto e acidente",,,270325,Melhora de qualidade das ciclovias; Limpeza das ciclovias,Não,,,,,
Masculino,38,Praticidade e conveniência;Segurança no trânsito;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,25,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,,,,270325,Segurança pública; Melhoria da fiscalização,"Sim, por uma moto",,,,,
Masculino,60,Rapidez \ Tempo;Praticidade e conveniência,,"Desrespeito dos motoristas ou Trânsito, Lixo na ciclovia, Outros obstáculos na ciclovia",,,,270325,Melhora de qualidade das ciclovias; Limpeza das ciclovias,Não,,,,,
Masculino,61,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,,,,270325,Outros,Não,,,,,
Masculino,47,Praticidade e conveniência;Exercício e saúde,,Buracos na ciclovia; Risco de acidentes,Medo de assalto,,,270325,Segurança pública,Não,,,,,
Masculino,60,Rapidez \ Tempo;Mais fácil;Segurança no trânsito,,Lixo na ciclovia,,,,270325,Limpeza das ciclovias,Não,,,,,
Masculino,53,Rapidez \ Tempo;Segurança no trânsito,,,Não,,,270325,Outros,"Sim, mas não especifica qual meio",,,,,
Masculino,31,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,34,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,Não,,,,,
Masculino,56,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Buracos na ciclovia; Lixo na ciclovia; Outros obstáculos na ciclovia,,,,270325,Melhora de qualidade das ciclovias; Limpeza das ciclovias,Não,,,,,
Masculino,30,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias; Outros,"Sim, por um carro",,,,,
Masculino,61,Exercício e saúde;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias; Buracos na ciclovia,,,,270325,Conscietização dos motoristas; Melhora de qualidade das ciclovias,Não,,,,,
Masculino,48,Exercício e saúde;Preferência pessoal,,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,,,,270325,Conscietização dos motoristas,Não,,,,,
Feminino,35,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,270325,Melhora de qualidade das ciclovias; Outros,"Sim, mas não especifica qual meio",,,,,
Masculino,33,Praticidade e conveniência;Segurança no trânsito,,Risco de acidentes,,,,270325,Segurança pública,"Sim, por um carro",,,,,
Masculino,26,Exercício e saúde;Praticidade e conveniência,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias; Limpeza das ciclovias,Não,,,,,
Masculino,30,Praticidade e conveniência;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,Não,,,,,
Masculino,36,Rapidez \ Tempo;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias,Não,,,,,
Masculino,38,Praticidade e conveniência;Segurança no trânsito;Rapidez \ Tempo;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,270325,Conscietização dos motoristas; Segurança pública,Não,,,,,
Masculino,33,Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,,270325,Outros,Não,,,,,
Masculino,26,Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,"Sim, medo de acidente",,,270325,Outros,Não,,,,,
Masculino,61,Praticidade e conveniência;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,,270325,Expansão das ciclovias,Não,,,,,
Masculino,61,Exercício e saúde;Preferência pessoal,,Outros obstáculos na ciclovia; Risco de acidentes,,,,270325,Outros,Não,,,,,
Masculino,59,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,52,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,270325,Melhora de qualidade das ciclovias,Não,,,,,
Masculino,49,Preferência pessoal;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,56,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,270325,Outros,Não,,,,,
Masculino,43,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,,270325,Conscietização dos motoristas,Não,,,,,
Feminino,37,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,,Rapidez \ Tempo,,Falta de ciclovias,,,,270325,Outros,Não,,,,,
Masculino,38,Praticidade e conveniência,,Outros obstáculos na ciclovia,,,,270325,Melhora de qualidade das ciclovias,Não,,,,,
Masculino,,Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias,"Sim, por uma moto",,,,,
Masculino,49,Exercício e saúde;Única opção,,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,,,,270325,Outros,Não,,,,,
Masculino,35,Rapidez \ Tempo;Praticidade e conveniência,,"Lixo na ciclovia, Buracos na ciclovia",,,,270325,Expansão das ciclovias,Não,,,,,
Masculino,24,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes",,,,270325,Expansão das ciclovias,"Sim, por uma moto",,,,,
Masculino,46,Praticidade e conveniência;Rapidez \ Tempo;Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias; Conscietização dos motoristas,"Sim, por um carro",,,,,
Masculino,43,Custo \ É mais barato;Única opção,,Desrespeito dos motoristas ou Trânsito,,,,270325,Melhora de qualidade das ciclovias,Não,,,,,
Masculino,56,Preferência pessoal,,Falta de ciclovias,,,,270325,Expansão das ciclovias,Não,,,,,
Masculino,59,Mais fácil;Praticidade e conveniência,,,,,,270325,Outros,Não,,,,,
Masculino,9,Preferência pessoal,,Outros obstáculos na ciclovia,,,,270325,Outros,"Sim, por uma moto",,,,,
Masculino,59,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,58,Praticidade e conveniência;Custo \ É mais barato;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,"Sim, por uma moto",,,,,
Feminino,,Exercício e saúde,,"Falta de ciclovias, Má qualidade das ciclovias","Sim, medo de acidente",,,270325,Expansão das ciclovias,Não,,,,,
Masculino,52,Única opção,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,,,,270325,Outros,"Sim, por uma moto",,,,,
Masculino,49,Rapidez \ Tempo,,,,,,270325,Outros,Não,,,,,
Masculino,45,Preferência pessoal,,"Buracos na ciclovia, Má qualidade das ciclovias",,,,270325,Melhora de qualidade das ciclovias,Não,,,,,
Feminino,9,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,270325,Conscietização dos motoristas,Não,,,,,
Masculino,43,Exercício e saúde,,Lixo na ciclovia; Invasão de carros ou motos na ciclovia,,,,270325,Melhoria da fiscalização,Não,,,,,
Masculino,48,Custo \ É mais barato;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,270325,Outros,"Sim, por uma moto",,,,,
Masculino,38,Praticidade e conveniência;Segurança no trânsito;Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,270325,Expansão das ciclovias,Não,,,,,
Masculino,35,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia; Lixo na ciclovia,,,,270325,Melhora de qualidade das ciclovias; Limpeza das ciclovias,"Sim, por uma moto",,,,,
